3.7188847000e+02,6.1793988463e+02,1.0053181315e+03,1.2012635539e+03,1.6216134837e+03,1.7576400377e+03,2.1831821141e+03,2.6840799771e+03,3.4373538301e+03,5.2355698891e+03,5.0454552962e+03,6.9799030997e+03,7.1413498167e+03,8.4160860111e+03,7.8049407640e+03,5.2582393997e+04,1.1542074728e+04,1.8114831142e+04,1.3386701211e+04,3.7287945925e+04,-1.9281807663e+04,1.3806150555e+03,-6.7309149572e+04
1.0321651670e+03,1.4263546751e+03,1.4722665089e+03,1.8393196190e+03,2.2073202808e+03,2.2614758613e+03,2.7912780120e+03,3.4166366564e+03,4.4445560038e+03,5.5152272409e+03,6.5487721435e+03,6.7912498934e+03,8.5814293275e+03,9.0439917145e+03,8.9274681478e+03,1.1519489971e+04,1.2638851008e+04,1.2928248561e+04,4.9327293115e+04,1.0399696218e+04,5.1576086297e+03,-4.5555902205e+04,-4.6204776927e+04
2.0169946646e+03,2.6597297985e+03,2.6716173692e+03,2.7734115621e+03,2.8806414365e+03,3.1351170369e+03,3.6398079065e+03,4.1190874437e+03,5.4513745979e+03,6.9452877784e+03,7.1600917631e+03,8.2385045497e+03,9.1390769465e+03,9.4598942090e+03,9.4802731477e+03,1.0801723527e+04,1.6056622590e+04,7.4112130476e+03,4.7628698871e+04,1.1715378968e+04,7.6562889376e+03,-6.7379412476e+04,-3.0906362444e+04
3.8043190883e+03,4.2087159005e+03,4.5451114077e+03,4.3836924648e+03,3.7803811158e+03,3.9832969993e+03,4.5568503247e+03,5.5484924733e+03,6.7244655145e+03,7.8787013975e+03,9.5113182490e+03,9.1869654905e+03,1.0554083386e+04,1.1172860896e+04,1.0567223104e+04,1.0583038136e+04,1.1567942863e+04,1.5728532327e+04,3.2922993364e+04,1.4665157023e+04,-1.9343791681e+04,-7.7784401573e+04,-1.3901704820e+04
7.7588019005e+03,6.7594278160e+03,6.6009465470e+03,5.9305159048e+03,5.3758016174e+03,5.4656282076e+03,5.7150141180e+03,6.6302828823e+03,8.8919560476e+03,1.0920930358e+04,1.0959598823e+04,1.2234650848e+04,1.3137988980e+04,1.1948521893e+04,1.2190317370e+04,1.1320713387e+04,1.0927799584e+04,1.9160330643e+04,2.6078317200e+04,1.5079190794e+04,-4.9599957040e+04,-6.7707293156e+04,7.6716281092e+03
1.3741357994e+04,1.1859688357e+04,9.2656289290e+03,8.0239392137e+03,7.4010405815e+03,7.1603112975e+03,7.5573035958e+03,9.4098862308e+03,1.1723726559e+04,1.2626129509e+04,1.4086863197e+04,1.5241745310e+04,1.4944724364e+04,1.4181037892e+04,1.4216912807e+04,1.3030640023e+04,1.1911863772e+04,2.1550315589e+04,3.4720322113e+04,3.4843255801e+03,-5.5146071384e+04,-3.0438010464e+04,1.9559369286e+04
1.6554864257e+04,1.9985370757e+04,1.3919054845e+04,1.0712583842e+04,8.9800086254e+03,9.3262383708e+03,9.8267188264e+03,1.1583927475e+04,1.4332508792e+04,1.7074727013e+04,1.8029836279e+04,1.7965667853e+04,1.7748361273e+04,1.7995448685e+04,1.5278783397e+04,1.4950068492e+04,1.3604661143e+04,2.5675603861e+04,4.7957178837e+04,3.5616834126e+03,-4.3429036796e+04,-1.1608636302e+04,2.3755807854e+04
1.8732701145e+04,2.9198441223e+04,2.1492675398e+04,1.4690429148e+04,1.1681540294e+04,1.2210090924e+04,1.3264828597e+04,1.6205058433e+04,1.8848445870e+04,2.0232633405e+04,2.2034600152e+04,2.2044060976e+04,2.1205502192e+04,1.9828824018e+04,1.5519616474e+04,1.6471019412e+04,1.5770262655e+04,3.9544902523e+04,7.1585867206e+04,2.1623662473e+04,-3.8692937375e+04,2.8450961738e+02,2.6375407827e+04
1.8819303103e+04,3.0436213662e+04,3.0018714969e+04,2.0290582317e+04,1.4529366998e+04,1.5047605190e+04,1.6427796843e+04,2.0153451971e+04,2.2082377518e+04,2.4856517458e+04,2.6028250685e+04,2.5315105138e+04,2.4275601700e+04,2.1429661582e+04,1.5646104473e+04,1.8252074349e+04,2.0054149029e+04,3.0842018511e+04,6.8457504589e+04,3.3294660972e+04,-4.2353601696e+04,6.4269029087e+03,2.9704648546e+04
3.6000281946e+04,2.2660794719e+04,3.4147679035e+04,2.9561371523e+04,1.8956067637e+04,1.8349319614e+04,2.1316855553e+04,2.3140903867e+04,2.6695416492e+04,2.8162374188e+04,2.9721421169e+04,3.0035380222e+04,2.6605549446e+04,2.1900210987e+04,1.7714476134e+04,1.9184486922e+04,2.3860323135e+04,3.1561456054e+04,6.5422420174e+04,1.2275454746e+05,-3.7572129663e+04,8.0982844737e+03,2.6139850149e+04
7.1954775409e+03,4.2113993310e+04,4.2878652187e+04,3.1756463682e+04,2.4262900827e+04,2.1071462781e+04,2.3377374326e+04,2.6468591850e+04,2.9341191811e+04,3.0858435690e+04,3.1276840971e+04,2.9343319105e+04,2.7858027425e+04,2.1124404106e+04,2.1091376790e+04,3.7642537141e+04,9.1585503993e+04,1.2751356015e+05,4.7675245474e+04,-1.9966948083e+04,3.1876736078e+03,1.7988939156e+04,3.3967431675e+04
4.7727174970e+04,4.8515611383e+04,4.1185148042e+04,3.6450900333e+04,2.9814569993e+04,2.6477723041e+04,2.7621319530e+04,2.9875840710e+04,3.2019929597e+04,3.3833055772e+04,3.4741527913e+04,3.1117856858e+04,3.1124872426e+04,3.3757116441e+04,6.2829356776e+04,1.0204839679e+05,1.1699805933e+05,1.1716542948e+05,1.6796212443e+04,-6.6006329102e+03,7.0258166756e+03,1.6816327891e+04,3.7402220900e+04
5.1881264891e+04,5.3775886980e+04,4.5990488315e+04,4.3857200419e+04,3.7012824195e+04,3.2705970071e+04,3.2949049398e+04,3.5444406769e+04,3.7317356977e+04,4.1340666068e+04,4.1555037125e+04,4.1336883159e+04,4.3104327917e+04,5.8615914152e+04,1.0149950377e+05,1.0099735922e+05,1.2089204159e+05,1.0142724115e+05,1.2242098613e+04,-9.7422348071e+03,9.1008170137e+03,1.8980509629e+04,3.5992726134e+04
