0.3					
3416381.717	420952.031	0	0	0	505335.8531
420952.031	8961592.738	0	0	0	-269924.0282
0	0	177904907.1	18665993.37	11077306.58	0
0	0	18665993.37	82519736.21	-2989791.312	0
0	0	11077306.58	-2989791.312	65764900.15	0
505335.8531	-269924.0283	0	0	0	6655111.703
					
6.154364597	0	0	0	0	-2.814185102
0	6.154364597	0	0	0	-0.138288823
0	0	6.154364597	2.814185102	0.138288823	0
0	0	2.814185102	8.414309148	-0.306585042	0
0	0	0.138288823	-0.306585042	1.388522657	0
-2.814185102	-0.138288823	0	0	0	9.802831805
					
0.33333333					
3178860.842	405319.9066	0	0	0	448486.4319
405319.9065	8678799.773	0	0	0	-174278.8697
0	0	172292455.6	17708200.13	9009277.049	0
0	0	17708200.13	75133031.43	-2778248.467	0
0	0	9009277.049	-2778248.468	56243578.93	0
448486.4319	-174278.8697	0	0	0	5711135.023
					
5.936505163	0	0	0	0	-2.659746028
0	5.936505163	0	0	0	-0.090155339
0	0	5.936505163	2.659746028	0.090155339	0
0	0	2.659746028	7.666653308	-0.289391288	0
0	0	0.090155339	-0.289391288	1.181712383	0
-2.659746028	-0.090155339	0	0	0	8.848365692
					
0.366666666					
1853058.413	768351.6152	0	0	0	-628431.0774
768351.6151	8453205.486	0	0	0	257119.9729
0	0	183237819	20376061.95	12178748.24	0
0	0	20376061.95	82503686	-3301670.652	0
0	0	12178748.24	-3301670.652	51926606.62	0
-628431.0774	257119.973	0	0	0	4127353.943
					
6.049309435	0	0	0	0	-2.956538551
0	6.049309435	0	0	0	-0.057547905
0	0	6.049309435	2.956538551	0.057547905	0
0	0	2.956538551	8.131529211	-0.311212893	0
0	0	0.057547905	-0.311212893	1.026897136	0
-2.956538551	-0.057547905	0	0	0	9.158426347
					
0.4					
2595955.459	281446.9575	0	0	0	366537.6045
281446.9574	7967253.889	0	0	0	236350.0419
0	0	155832606	15067160.7	-55644.08462	0
0	0	15067160.71	60398056.43	-2214937.647	0
0	0	-55644.08442	-2214937.647	35144722.2	0
366537.6044	236350.0418	0	0	0	3834461.851
					
4.967928826	0	0	0	0	-1.7988331
0	4.967928826	0	0	0	0.098355177
0	0	4.967928826	1.7988331	-0.098355177	0
0	0	1.7988331	5.448835412	-0.221407256	0
0	0	-0.098355177	-0.221407256	0.723203556	0
-1.7988331	0.098355177	0	0	0	6.172038968
					
0.433333333					
2301787.322	214375.5038	0	0	0	304502.265
214375.5038	7897014.123	0	0	0	381175.9848
0	0	160017591.4	15971102.25	-78446.8381	0
0	0	15971102.25	62951428.84	-2279692.284	0
0	0	-78446.83804	-2279692.284	29290428.55	0
304502.265	381175.9848	0	0	0	3217488.238
					
4.953305022	0	0	0	0	-1.96520268
0	4.953305022	0	0	0	0.158797085
0	0	4.953305022	1.96520268	-0.158797085	0
0	0	1.96520268	5.597848561	-0.225465878	0
0	0	-0.158797085	-0.225465878	0.581071232	0
-1.96520268	0.158797085	0	0	0	6.178919792
					
0.5					
2129396.591	305896.5193	0	0	0	221454.2765
305896.5193	7737383.993	0	0	0	407542.9797
0	0	150982178.5	16506447.84	-3539607.422	0
0	0	16506447.84	50965905.8	-3006717.312	0
0	0	-3539607.422	-3006717.312	24129677.77	0
221454.2765	407542.9798	0	0	0	2701301.54
					
4.592673207	0	0	0	0	-1.705770263
0	4.592673207	0	0	0	0.165609231
0	0	4.592673207	1.705770263	-0.165609231	0
0	0	1.705770263	4.463349887	-0.192312734	0
0	0	-0.165609231	-0.192312734	0.4710382	0
-1.705770263	0.165609231	0	0	0	4.934388087
					
0.520325203					
1976229.707	230483.4245	0	0	0	210807.6419
230483.4245	8633101.87	0	0	0	539648.0999
0	0	163375398	13732137.88	-6424931.94	0
0	0	13732137.88	46558734.75	-1733500.037	0
0	0	-6424931.94	-1733500.037	23556456.99	0
210807.6419	539648.0999	0	0	0	2611802.831
					
4.516422351	0	0	0	0	-1.444569817
0	4.516422351	0	0	0	0.213813757
0	0	4.516422351	1.444569817	-0.213813757	0
