-8.2654663450e+04,-2.0047428806e+05,-3.6488567108e+05,-5.8715608512e+05,-9.7916389997e+05,-1.3808431772e+06,-2.0381357427e+06,-2.8068821041e+06,-3.6525507013e+06,-4.7273747369e+06,-5.9222220896e+06,-7.0991536843e+06,-8.2335912025e+06,-9.6979111290e+06,-1.0867778186e+07,-1.2545581141e+07,-1.3732730089e+07,-1.5972289775e+07,-1.4845020739e+07,-1.5021366350e+07,-1.2673130197e+07,-1.3607227834e+07,-1.2540897468e+07
-1.3160179858e+05,-2.7258757457e+05,-4.2586985862e+05,-6.7792454112e+05,-1.0449717153e+06,-1.4480440620e+06,-2.1376145643e+06,-2.8716083843e+06,-3.7255457817e+06,-4.9961288050e+06,-6.0285711466e+06,-7.1562485764e+06,-8.5784322979e+06,-9.9670705936e+06,-1.1049027288e+07,-1.2590052940e+07,-1.4186706545e+07,-1.4474808977e+07,-1.6029751655e+07,-1.4778260122e+07,-1.3025837377e+07,-1.5299506631e+07,-1.3383500219e+07
-2.0866831727e+05,-3.6715218511e+05,-5.2645767216e+05,-7.8750922236e+05,-1.1011462470e+06,-1.6258241706e+06,-2.2551171431e+06,-2.9623908908e+06,-3.9206789960e+06,-5.1112913586e+06,-6.1694723884e+06,-7.2588459413e+06,-8.8055475575e+06,-1.0180943363e+07,-1.1088464857e+07,-1.2842348871e+07,-1.4082984259e+07,-1.3470959376e+07,-1.6180104402e+07,-1.4239178036e+07,-1.3937524491e+07,-1.6314117434e+07,-1.4468886549e+07
-3.0647845250e+05,-4.8947589650e+05,-6.7066981865e+05,-8.9256159180e+05,-1.1933171900e+06,-1.7831882404e+06,-2.3978053253e+06,-3.0937432914e+06,-4.1017332563e+06,-5.2883661850e+06,-6.3061765619e+06,-7.5189554124e+06,-9.0378599890e+06,-1.0248429727e+07,-1.1264310374e+07,-1.3032079614e+07,-1.3314988877e+07,-1.3260923245e+07,-1.6563970716e+07,-1.4540545148e+07,-1.5758807698e+07,-1.7147338363e+07,-1.5775146706e+07
-4.2890194559e+05,-6.1739079636e+05,-8.3214563267e+05,-1.0295929823e+06,-1.3184932735e+06,-1.9754522144e+06,-2.5403627981e+06,-3.2726420367e+06,-4.4011049257e+06,-5.4886048664e+06,-6.4757013798e+06,-7.8345245775e+06,-9.2890588820e+06,-1.0365406537e+07,-1.1464873214e+07,-1.3198326038e+07,-1.3393905910e+07,-1.3184923134e+07,-1.7059554185e+07,-1.5310803230e+07,-1.7843816211e+07,-1.8514862687e+07,-1.7001864460e+07
-4.6209517849e+05,-6.9284585516e+05,-9.3433304470e+05,-1.1774440714e+06,-1.4665887969e+06,-2.1583516277e+06,-2.7960466530e+06,-3.5680532145e+06,-4.6817509241e+06,-5.6477062631e+06,-6.7388104773e+06,-8.1290002338e+06,-9.5280137446e+06,-1.0543232153e+07,-1.1619432370e+07,-1.3535233767e+07,-1.3686478971e+07,-1.3120888819e+07,-1.7773987933e+07,-1.6822918110e+07,-1.9987259422e+07,-1.9992319057e+07,-1.9384128002e+07
-3.1076679353e+05,-5.6947854804e+05,-9.9878581580e+05,-1.3015893339e+06,-1.6512615031e+06,-2.2740890249e+06,-3.0764022910e+06,-3.8999699146e+06,-4.9305178251e+06,-5.9219334710e+06,-7.0448680532e+06,-8.4279443414e+06,-9.7423240264e+06,-1.0783031952e+07,-1.1727295331e+07,-1.3471962687e+07,-1.3875734544e+07,-1.3472619966e+07,-1.8696741520e+07,-1.8814533355e+07,-2.2357820715e+07,-2.1654588331e+07,-2.1390598387e+07
-7.7846827248e+05,-4.5711338943e+05,-1.0511540679e+06,-1.3791463309e+06,-1.8046419644e+06,-2.3961536958e+06,-3.2797520892e+06,-4.3265555331e+06,-5.1983613224e+06,-6.1653231302e+06,-7.3230662118e+06,-8.6851415370e+06,-9.9609649993e+06,-1.0947714824e+07,-1.1727536832e+07,-1.3432339421e+07,-1.4345422229e+07,-1.4572553180e+07,-1.8903500197e+07,-2.1089265456e+07,-2.4676975589e+07,-2.3856993265e+07,-2.4076731794e+07
-4.7613917623e+06,-5.4203181927e+05,-1.0517408033e+06,-1.4707949386e+06,-1.9127577452e+06,-2.4951689657e+06,-3.3627240504e+06,-4.7862991681e+06,-5.4052571085e+06,-6.3285850352e+06,-7.4561765770e+06,-8.8218120307e+06,-1.0053467363e+07,-1.0887827070e+07,-1.1551699587e+07,-1.3495860296e+07,-1.4231310188e+07,-1.2668235258e+07,-1.6985513304e+07,-2.3273256396e+07,-2.7028573457e+07,-2.6402338365e+07,-2.6596318655e+07
2.4269694219e+06,-8.1290875939e+05,-8.7614006259e+05,-1.2374915424e+06,-2.0645958247e+06,-2.5594794312e+06,-3.3988165598e+06,-4.9239219209e+06,-5.6608927781e+06,-6.1658555633e+06,-7.4780640785e+06,-8.8617284300e+06,-9.9860359223e+06,-1.0525705232e+07,-1.1359586715e+07,-1.3491723188e+07,-1.4147667274e+07,-1.3207019194e+07,-1.4798260255e+07,-2.3191677654e+07,-2.9446848470e+07,-2.9116306857e+07,-2.8462949262e+07
