phase,mean_us,p50_us,p95_us,p99_us,max_us,mean_share_of_function_pct,target_cpu_p99_us_estimate
preprocess_us,2.146666666666667,1.95,3.419999999999999,4.026000000000001,4.2,0.01135694908612712,4.026000000000001
model_workspace_us,47.36666666666667,43.15,78.29999999999997,96.50300000000001,102.1,0.25059355048737014,96.50300000000001
prediction_us,265.84666666666664,250.35,360.65999999999985,406.255,415.1,1.4064629152406554,406.255
cost_us,14399.653333333332,14380.15,15664.639999999998,17021.267,17470.1,76.18142690895061,17021.267
constraints_us,44.919999999999995,39.0,83.78499999999988,131.37500000000003,143.7,0.23764945013144256,131.37500000000003
qpoases_us,4053.82,3954.25,4681.879999999999,4962.07,5042.4,21.446751868473836,4962.07
extract_u_us,0.26666666666666666,0.2,0.45499999999999974,0.5,0.5,0.0014108011287114434,0.5
post_diagnostics_us,87.77,79.9,134.27499999999986,186.252,198.2,0.46434755650126264,186.252
total_to_u_us,18814.02,18819.800000000003,19897.43,21253.482,21721.6,99.53565244349875,21253.482
total_function_us,18901.789999999997,18900.3,19977.71,21331.475,21799.1,100.0,21331.475
