-1.0989383750e+06,-1.0412493125e+06,-1.0308470000e+06,-9.5591962500e+05,-5.1316825000e+05,-5.7962666667e+04,1.3786910000e+06,1.9680262500e+06,1.1876070000e+06,1.0711762500e+06,9.3682150000e+05,9.6480500000e+05,1.3799068125e+06,1.5466636250e+06
-1.1024552500e+06,-1.0799426250e+06,-1.0037867500e+06,-9.3927950000e+05,-5.5326250000e+05,-1.2321200000e+05,9.5598500000e+05,1.9707130000e+06,1.5460320000e+06,1.0857602500e+06,9.7794425000e+05,1.1443578750e+06,1.5405976250e+06,1.6528725000e+06
-1.0690462500e+06,-1.1157375000e+06,-9.9244237500e+05,-9.2108600000e+05,-5.9238175000e+05,-1.9767066667e+05,6.5675650000e+05,1.9054787500e+06,1.7660085000e+06,1.1755250000e+06,1.0165840000e+06,1.2668557500e+06,1.7795545938e+06,2.0050051875e+06
-1.0016597500e+06,-1.1188818750e+06,-9.8791150000e+05,-9.1294100000e+05,-6.3259975000e+05,-2.6614600000e+05,3.2595650000e+05,1.7373577500e+06,1.9074482500e+06,1.2597567500e+06,1.1329487500e+06,1.4366282500e+06,1.8097721875e+06,1.9251308750e+06
-9.0174887500e+05,-1.0893619375e+06,-9.9161362500e+05,-9.0862762500e+05,-6.6262950000e+05,-3.3468966667e+05,5.2942500000e+04,1.4693735000e+06,1.8503320000e+06,1.3693675000e+06,1.4340827500e+06,1.5956186250e+06,1.9136025000e+06,2.2087572500e+06
-7.9641300000e+05,-1.0393205000e+06,-1.0035745000e+06,-9.0880175000e+05,-6.7469825000e+05,-4.3869100000e+05,-2.2694300000e+05,1.1114680000e+06,1.5758830000e+06,1.5228302500e+06,1.8057307500e+06,1.7778775000e+06,2.1009480312e+06,2.4895310625e+06
-7.5082025000e+05,-9.8505425000e+05,-1.0020058750e+06,-9.1205925000e+05,-6.7710425000e+05,-5.5084666667e+05,-4.1137950000e+05,4.6005250000e+05,1.1311165000e+06,1.8365352500e+06,2.0162807500e+06,2.0527353750e+06,2.3700501875e+06,2.5364026250e+06
-8.1103975000e+05,-9.2889162500e+05,-9.7826800000e+05,-9.1708350000e+05,-6.5565625000e+05,-6.5958800000e+05,-6.2836800000e+05,2.7396650000e+05,8.2140900000e+05,1.2549590000e+06,2.0125270000e+06,2.6125327500e+06,2.4083968750e+06,2.1499012500e+06
-1.0102120000e+06,-8.6940500000e+05,-9.1939937500e+05,-9.3354537500e+05,-6.1089075000e+05,-7.6785533333e+05,-8.1794500000e+05,7.4986500000e+04,2.8889200000e+05,6.2239500000e+05,1.8430825000e+06,2.7208012500e+06,2.9371055000e+06,3.0396875000e+06
-1.1258377500e+06,-8.6195900000e+05,-8.9221037500e+05,-9.0667425000e+05,-6.2888800000e+05,-8.9625966667e+05,-8.9167700000e+05,-1.1882550000e+05,9.9810000000e+04,1.9905650000e+05,9.4235750000e+05,2.9173567500e+06,3.9947012500e+06,3.7224510000e+06
